author,content
AndrzejDuda,"Today in Lviv, together with Presidents @ZelenskyyUa and @GitanasNauseda, we are talking in the Lublin Triangle format about military support for Ukraine against Russian aggression and about Ukraine's integration with the EU and NATO.  🇵🇱🤝🇺🇦🤝🇱🇹 https://t.co/iYSWqEdYWL"
AndrzejDuda,Dzisiaj we Lwowie razem z Prezydentami @ZelenskyyUa i @GitanasNauseda rozmawiamy w formacie Trójkąta lLubelskiego o militarnym wsparciu dla Ukrainy przeciw rosyjskiej agresji oraz o integracji Ukrainy z UE i NATO. 🇵🇱🤝🇺🇦🤝🇱🇹 https://t.co/HdLo7JTVV5
AndrzejDuda,"Democracy is not perfect. Sometimes only 50%+1 voters are satisfied. But nothing better has been invented to ensure the well-being of people. Democratic institutions (elections) are sacred. President @LulaOficial won and has the support of the democratic world, including Poland!"
AndrzejDuda,"Demokracja nie jest doskonała. Bywa, że tylko 50%+1 wyborców jest zadowolonych. Ale nic lepszego nie wymyślono by zapewnić ludziom pomyślność. Stąd instytucje demokratyczne, w tym wybory to świętość. Prezydent @LulaOficial wygrał i ma poparcie demokratyczego świata, w tym Polski!"
AndrzejDuda,"1/2 Teraz jest nowy rządowy projekt. Pytania podstawowe, czy jest zgodny z Konstytucją i czy jest dla niego większość sejmowa(?). Jeśli nie, sprawa jest bezprzedmiotowa. Jeśli większość jest, niech najpierw zostanie uchwalony. Dopiero potem jest decyzja Prezydenta RP."
AndrzejDuda,"1/2 Wobec dyskusji toczonej przez polityków różnych opcji, przypominam, że w lutym 2022 przygotowałem projekt zmian w SN, który miał przychylność KE. Był więc kompromis i potem akceptacja KPO. Niestety, wielomiesięczna zwłoka w Sejmie i zmiany w ustawie doprowadziły do impasu."
AndrzejDuda,"„Dzisiaj już wiem, że te rozmowy, które są prowadzone z prezydentem po tej wypowiedzi, bardzo mocno go uspokajają.” 
Nie wiem od kogo Pan Min. Buda czerpie takie informacje ale są one nieprawdziwe i w swojej wypowiedzi niestety mija się z prawdą. 

https://t.co/UgB2oWgAHJ"
AndrzejDuda,Wraz z Agatą życzymy Państwu Szczęśliwego Nowego 2023 Roku! Niech będzie lepszy niż 2022! Niech przyniesie pokój i ukojenie! Niech oddali finansowe i gospodarcze zagrożenia! Niech uwolni od trosk o domowy budżet! Niech będzie pełen szczęścia i pomyślności dla nas wszystkich! 🥂🍾 https://t.co/3RfkiXOvcT
AndrzejDuda,"Papież Benedykt XVI odszedł do Domu Ojca. Świat utracił dziś jednego z najwybitniejszych teologów XX i XXI wieku, bliskiego współpracownika św. Jana Pawła II. Jego życie, dzieła i posługa duszpasterska to drogowskaz wśród wielu krętych i zwodniczych dróg współczesności. R.I.P."
AndrzejDuda,"Ze smutkiem przyjąłem wiadomość o odejściu Emiliana Kamińskiego. Aktor i reżyser, twórca warszawskiego Teatru Kamienica, w stanie wojennym jeden ze współtwórców Teatru Domowego. Ale przede wszystkim Człowiek życzliwy ludziom, Artysta szanujący widzów, uparty Twórca-Wizjoner. RIP"
AndrzejDuda,"Today's meeting with the President of Ukraine @ZelenskyyUa was not only a great opportunity to send Christmas and New Year wishes to him, his Family and Ukraine, but also gave me an opportunity to discuss strategic plans for actions and cooperation in the upcoming 2023. 🇵🇱🤝🇺🇦 https://t.co/CfKtkChmU1"
AndrzejDuda,"Dzisiejsze spotkanie z Prezydentem Ukrainy @ZelenskyyUa było nie tylko znakomitą okazją do złożenia świąteczno-noworocznych życzeń dla Niego, Jego Rodziny i Ukrainy ale także dało sposobność omówienia strategicznych planów działania i współpracy w nadchodzącym 2023 roku. 🇵🇱🤝🇺🇦 https://t.co/kjpt5gcrSH"
AndrzejDuda,"For helping and hiding Jews, the Ulma Family (Polish family) was murdered by the Nazi Germans. Their heroism is a symbol and the memory of them will last. The Holy Father has approved the decree on the martyrdom of the Ulma Family, which opens the way to their beatification. https://t.co/Q7jmk5qOGs"
AndrzejDuda,"Za pomoc i ukrywanie Żydów, rodzina Ulmów została zamordowana przez niemieckich okupantów. Ich bohaterstwo jest symbolem, a pamięć o Nich będzie trwać. Ojciec Święty zaaprobował dekret o męczeństwie rodziny Ulmów, który jest otwarciem drogi do Ich beatyfikacji. https://t.co/Q2uKqL9qrX"
AndrzejDuda,Dawid Kubacki wygrał konkurs Pucharu Świata w skokach narciarskich w Titisee-Neustadt. Brawo! Gratulacje! Wspaniały skok! Dziękujemy! 🇵🇱
AndrzejDuda,"Delikatnie mówiąc, kontrowersyjna decyzja sędziów o podyktowaniu rzutu karnego przeciw Polsce. Odpowiedzią na to jest SPOKOJNA i GENIALNA obrona Wojciecha Szczęsnego! BRAWO!!!! #QatarWorldCup2022"
AndrzejDuda,"W Masłomiący, w gminie Michałowice pod Krakowem, w siedzibie koła Gospodyń Wiejskich (Wspaniałych!) Polska wygrała z Arabią Saudyjską 2:0! Brawo! Gratulujemy i dziękujemy Biało-Czerwonym!!! 💪👍👏👏👏😁#Katar2022 https://t.co/RtblMhpLX6"
AndrzejDuda,"Wieczna Pamięć milionom Ofiar Wielkiego Głodu wywołanego 90 lat temu na Ukrainie przez stalinowski Związek Sowiecki.
Wieczna hańba jego naśladowcom bombardującym dziś ukraińskie miasta, elektrownie, szkoły i szpitale."
AndrzejDuda,"Z wielu punktów widzenia byłoby dobrze gdyby baterie patriot stały w pewnej odlegości od polskiej granicy, bo wówczas chroniłyby terytorium Polski, naszych obywateli i część Ukrainy ale jeśli Niemcy nie zgodzą się na wyjazd baterii na Ukrainę, to trzeba tę ochronę przyjąć u nas."
AndrzejDuda,"Kłamią tak, że nawet prokuratury nie można zawiadomić, że ktoś złamał klauzulę tajności posiedzenia, bo prawdą w tym tekście jest jedynie to, że rakieta spadła i posiedzenie się odbyło. Czysta konfabulacja, tacy to są „dziennikarze”. https://t.co/NvdDXu9ugH"
AndrzejDuda,Koreę dotknęła niewyobrażalna tragedia. W tych momentach łączę się w modlitwie z jej Narodem. Niech dobry Bóg ma w opiece wszystkie Ofiary i Ich Najbliższych.
AndrzejDuda,"Ze smutkiem żegnam ś.p. Tomasza Wójtowicza, Legendę polskiej i światowej siatkówki, niezapomnianego atakującego drużyny Huberta Jerzego Wagnera z Igrzysk Olimpijskich i Mistrzostw Świata. 
Mistrzu, dziękujemy za wszystkie piękne i dumne chwile! 
R.I.P."
AndrzejDuda,My warmest congratulations to @RishiSunak on becoming UK’s Prime Minister. I am looking forward to our meeting and co-operation and wish you success in your endeavours. Poland and the UK are steadfast allies and are standing together against Russian invasion of Ukraine. 🇵🇱🤝🇬🇧
AndrzejDuda,"Dziękuję Przywódcom Grupy Wyszehradzkiej  i Dziewiątki Bukaresztańskiej oraz naszym czarnogórskim i macedońskim Przyjaciołom za jedność, zgodę na zaproponowaną przez Polskę deklarację i potępienie rosyjskich bombardowań Ukrainy. Dla zbrodni wojennych nie ma przedawnienia! https://t.co/Yp2BQnMUoq"
AndrzejDuda,"Rozmawiałem dzisiaj z @ZelenskyyUa . Mówiliśmy o konieczności izolowania Rosji, która dziś dopuściła się masowych zbrodni wojennych. Zbrodnie takie - przypominam - nie ulegają przedawnieniu i ścigane są na całym świecie. Dziś i jutro będę rozmawiał o tym z innymi przywódcami."
AndrzejDuda,"Dziękuję za dzisiejszą wizytę mojemu przyjacielowi, prezydentowi Łotwy @valstsgriba . Polska i Łotwa wraz z innymi państwami flanki wschodniej @NATO stanowią forpocztę obrony przed rosyjskim imperializmem. Nie ma między nami różnic w ocenie sytuacji na Wschodzie. 🇵🇱🤝🇱🇻 https://t.co/v7WTvEdbXa"
AndrzejDuda,Poland condemns RUS attempts to annex UA territory and will never recognize them. We will continue to support the Defenders of UA until the aggressor is driven out. Today's desperate action by the Kremlin is a defeat for those who naively believed in a compromise with RUS. 🇵🇱🤝🇺🇦
AndrzejDuda,"Polska potępia rosyjskie próby aneksji terytorium Ukrainy i nigdy ich nie uzna. Będziemy dalej wspierać Obrońców Ukrainy i jej naród, aż do wyparcia agresora. Dzisiejsza desperacka i żałosna akcja Kremla to klęska tych, którzy naiwnie wierzyli w kompromis z Rosją.🇵🇱🤝🇺🇦"
AndrzejDuda,"Wielki dzień dla Polski! Gazociąg #BalticPipe został otwarty! Ogromny krok w kierunku wzmacniania bezpieczeństwa energetycznego i suwerenności naszego kraju. Dziękuję wszystkim zaangażowanym w ten projekt, na czele z Panem Ministrem Piotrem Naimskim! Niech żyje Polska! 🇵🇱"
AndrzejDuda,"Ile trzeba mieć w sobie poczucia wyższości, buty, arogancji i pogardy dla demokratycznych reguł żeby o wyniku wyborów innym kraju, dokonywanych przez inny naród, powiedzieć: „Wygrał nie ten co powinien! Źle wybrali! Trzeba za gardło złapać to państwo i te władze!”?"
