author,content
jordanbpeterson,Delivering such idiocy to children is much easier than teaching (plus the unearned moral kick)....
jordanbpeterson,Journalist Mark Gollom @CBC played it straight with the story but the woke narcissists of compassion working there couldn't resist....
jordanbpeterson,Do not let the socialist globalists redistribute your money by force...
jordanbpeterson,This is a very informative YouTube channel (history/economics/statistics) https://t.co/CEdE5DdQo6
jordanbpeterson,Do we believe this woman?  https://t.co/yfm8S54UpB
jordanbpeterson,Ralston College and the Rejuvenation of Higher Ed | City Journal https://t.co/7jiwQMrjE3
jordanbpeterson,"translation: ""we're returning some of the money we stole from Canadians by compelling them to act on the half-truths and lies we are propagating about a non-existent climate emergency"" @JustinTrudeau any time you need some help communicating in a straight manner let me know"
jordanbpeterson,TikTok trend advocates meat-eating habits of a lion - Beef Central https://t.co/EbVf0L4U4s
jordanbpeterson,Affaire Jordan Peterson: protégeons l'individualité | JDM https://t.co/pkD4KITyEs
jordanbpeterson,https://t.co/xT9SGdVVhZ
jordanbpeterson,There is no shortage of people in the Canadian judiciary  who now believe it is perfectly appropriate for ideologically-addled bureaucrats to issue diktats restricting free speech: leftists: what happens when the shoe is on the other foot? https://t.co/LZkGbE1aBl
jordanbpeterson,"Ralston College and the Rejuvenation of Higher Ed | City Journal https://t.co/jiUAnc2FNA I serve Ralston as Chancellor; an endeavour independent of the upcoming Peterson Academy, which will offer the highest-quality online ed. https://t.co/lM4s5h2kTt"
jordanbpeterson,It means painfully unqualified and utterly malleable...
jordanbpeterson,I think we both belong on the cover of Sports Illustrated... @GadSaad
jordanbpeterson,Assortative mating perhaps plays a role: rich successful women mostly only marry richer more successful men... https://t.co/sGfy5IZmUE
jordanbpeterson,It's time to resist all this nonsense.
jordanbpeterson,We can get that to 50% with Justin a bit more effort @JustinTrudeau
jordanbpeterson,Dr Todd Grande @grande_dr on @CPOntario and their decision to force me to re-educate myself and modify my social media communication https://t.co/T0e3GsNFka
jordanbpeterson,It's obviously time for the tourist agencies in Finland to market to incels... :)
jordanbpeterson,Which of these are true? Or perhaps neither because eight years is the wrong time frame. But what time frame is correct? https://t.co/4VUmyzg35l
jordanbpeterson,Some words of support and caution to the public re regulatory boards from a fellow psychotherapist: https://t.co/2fzjIKF5tW
jordanbpeterson,Canada's state subsidized broadcaster @CBC had the good grace to put a journalist with integrity on this issue and play it straight: https://t.co/XdpCBHuV3U
jordanbpeterson,Thanks Chanel
jordanbpeterson,"I'll take ""climate change"" over interventionist globalist bureaucrats any day."
jordanbpeterson,"As Solzhenitsyn said, one man who stops lying can bring down a tyranny @joerogan"
jordanbpeterson,"Absolutely. Aim up, young men, with all your souls' might."
jordanbpeterson,"Such a response from a physician is now legally required in Canada. Beware, parents of gender-dysphoric children (encouraged by their idiot, malevolent ""educators"")."
jordanbpeterson,I'm afraid it's pearls before swine @ABDanielleSmith. Do you suppose @JustinTrudeau will discuss this with @s_guilbeault before they reject your offer to provide an environmentally sound necessity at low cost to our Japanese allies?
jordanbpeterson,"Take note, Canadians. We now make 40% less than our American counterparts. But sensible policy is possible."
jordanbpeterson,"Right you are Senator Lee. All those ""extra mouths."" How annoying is that?"
jordanbpeterson,Any thoughts @CBC ?
jordanbpeterson,If she fails perhaps @JustinTrudeau's Canada can offer her assisted suicide
jordanbpeterson,Hello @TowersDr. Happy New Year: Any comments on my @CPOntario sentencing to social media communication retraining by the College of which you are a member?
jordanbpeterson,"There are lies, damned lies, statistics... and then the UN @UN"
jordanbpeterson,"Good, for obvious reasons. Bad because if public trust in in state ed has fallen such that these measures are necessary society is truly in trouble."
jordanbpeterson,Serpents slither...
jordanbpeterson,Double mastectomy at 15. At the hands of her compassionate gender-affirming physicians.
jordanbpeterson,"Dead people are less expensive. And, as a benefit, they produce very little C02!"
jordanbpeterson,"That's all performative, Rob. Cross-culturally. For thousands of years :)"
jordanbpeterson,Canada could gain 4.2 million square kilometres of agricultural land as a result of climate change https://t.co/XfT8CyZsoq
jordanbpeterson,"How about the top 1%? Are us ""white""
dudes managing to maintain our patriarchal oppression there, still?"
jordanbpeterson,Do trans women suffer systemic discrimination when they seek an abortion? Just wondering...
jordanbpeterson,"I suppose I'm a journalist of sorts. Here's a question for you: why do you support @JustinTrudeau for no discernible reason and, simultaneously, criticize him?"
jordanbpeterson,It really isn't obvious to me why that's better...
jordanbpeterson,The spelling alone implicates her.
jordanbpeterson,She sure thinks we deserve a lot.
jordanbpeterson,The land of the strong and free :(
jordanbpeterson,I think we'd have a little chat...
jordanbpeterson,"None of this has anything at all to do with ""trans rights."""
jordanbpeterson,"Some hypotheses:
Very youthful population?
Relatively poor medical records?
Extremely wide spread natural immunity protecting against later variants?
Comparative overstatement of death rates in the west?
More sunshine and Vitamin D?
Less obesity?"
jordanbpeterson,The goal is the elimination of private mobility because the planet.
jordanbpeterson,What do you think @JustinTrudeau? Mandatory or not?
jordanbpeterson,As long as my government doesn't compel me to use wolf-centric pronouns
jordanbpeterson,Meanwhile our socialist party leader so incompetent he couldn't even negotiate a cabinet seat as the price for his soul continues to support the very Liberals he  criticizes @theJagmeetSingh @JustinTrudeau
jordanbpeterson,"Canadians: the effectiveness of the the medical, legal and other professionals you depend upon are being fatally compromised by intrusive ideologues in the bureacracy and government https://t.co/XNSj6mnt96"
jordanbpeterson,"Oh, Canada..."
jordanbpeterson,Once they freeze to death they'll emit a lot less carbon...
jordanbpeterson,"In all fairness, it is a pretty good wolf suit..."
jordanbpeterson,"Radical inclusiveness is indistinguishable from pride: ""we can even incorporate the poison fruit of the snake""-- Eve and Adam forever and ever amen."
jordanbpeterson,Carnival...
jordanbpeterson,Because men hide their light under a bushel...
jordanbpeterson,Coal too @PeterDClack ?
jordanbpeterson,https://t.co/dDD83yKAwu
jordanbpeterson,"Who defines porn, and how? Do we keep Renaissance nudes? A serious question.."
jordanbpeterson,It's pretty sad that this is necessary given all the true health risks (obesity; diabetes; postmodern Marxism) but it appears nonetheless to be...
jordanbpeterson,It's pretty sad that this is necessary given all the true health risks (obesity; diabetes; postmodern Marxism) but it appears nonetheless to be...
jordanbpeterson,Thank you. Watch out for your College :)
jordanbpeterson,I think I'm cuter than Madonna...
jordanbpeterson,Inexcusable abdication of professional responsibility. Take note of those words @CPOntario
jordanbpeterson,"One of many such ""ideas"" (truly anti-ideas)"
jordanbpeterson,"The utopian globalists in action. Give up your car, your money, your children and the future while failing utterly to save a planet that is not in crisis. This has to stop."
jordanbpeterson,"Don't let this happen, Canadians. You'll never be able to trust your professionals again if the government controls their tongues."
jordanbpeterson,And the bookbinder engaging in this woke historical revisionism lives in what city and country?
jordanbpeterson,"There's a shock. The Collleges designed to ""regulate"" professionals in Canada have become woke commissars--like @CPOntario"
jordanbpeterson,Jordan Peterson holds a number of contentious positions. Threatening his license over his opinions is an affront to liberty. https://t.co/LillOqI40H via @reason
jordanbpeterson,Very funny or maybe not
jordanbpeterson,Diet and depression https://t.co/mmFQJJkq0I
jordanbpeterson,People seem to like this: advice for young people  https://t.co/tF9Yj49GU8 via @YouTube
jordanbpeterson,Thank you ma'am.
jordanbpeterson,The Toronto Sun ⁦@TheTorontoSun⁩ covered today's protest against ⁦@CPOntario⁩  https://t.co/1Fnog2q9MK
jordanbpeterson,Any coverage of this from Trudeau's paid minions at @CBC ?
jordanbpeterson,Query @CPOntario dies this protest constitute a public complaint about your professional conduct? Looks like a lot more than the dozen or so who have attempted with your help to vilify me...
jordanbpeterson,Looks like it's time to freeze some more bank accounts @JustinTrudeau
jordanbpeterson,See the great book The Great Mother by Erich Neumann. The negative elementary feminine is the archetypal devouring mother: death and torment by compassion.
jordanbpeterson,Did any of this hit mainstream news?
jordanbpeterson,Very interesting...
jordanbpeterson,Surplus. Let that sink in Canadians.
jordanbpeterson,A very useful thread...
jordanbpeterson,Science progresses every time a single scientist is right when every one of his peers is wrong.
jordanbpeterson,How'd it go?
jordanbpeterson,That's the new world order...
jordanbpeterson,Hire a chaperone to protect her from Grandma...
jordanbpeterson,Hi guys @CPOntario
jordanbpeterson,Diagnosis and cure...
jordanbpeterson,Wait until I interview him. Really. Coming sooner than you think.
jordanbpeterson,"Hello darkness, my old friend..."
jordanbpeterson,Maybe in a tight little yellow number? https://t.co/pcoBNWdNS1
jordanbpeterson,Not so much as it creates them :)
jordanbpeterson,But isn't it convenient that the interests of the biosphere and those who want such power always so mysteriously dovetail?
jordanbpeterson,"There is literally nothing the woke mob will allow to be excluded from centralized control... for the sake of ""the planet"""
jordanbpeterson,"No, that's Canadians. Still smitten with @JustinTrudeau"
jordanbpeterson,"Because the default or a priori feminine ethos is ""care for infants""?"
jordanbpeterson,"Told you so (or, as Ricky puts it: https://t.co/g5nSXCjODR)"
jordanbpeterson,Number 8. That damned Goggins is ahead again :) https://t.co/7IBVwqoJHh https://t.co/Uhh8m6rsa8
jordanbpeterson,From @WSJ https://t.co/tcir1zlhD3 https://t.co/3IjKO1Pav8
jordanbpeterson,I can imagine even worse Jordan Peterson's but I try to keep them in check :) https://t.co/f6PNRcyF3h https://t.co/EQn1U07rEF
jordanbpeterson,Gaston or the (redeemable) Beast? I stand for the latter... and so do the wise Beauties.  https://t.co/WGHSO2nM48
jordanbpeterson,If you're not too busy this afternoon in Toronto: https://t.co/swwlSxp90K
jordanbpeterson,Another reporter too wilfully blind and self righteous to stand up for what lets him practice his craft https://t.co/Yx6QxHwGrG via @NatObserver
jordanbpeterson,"And (surprise, surprise) it's Michelle Goldberg, who just failed entirely to defend the proposition that the legacy media was trustworthy in a debate with @DouglasKMurray @michelleinbklyn https://t.co/NDffgcPf3S"
jordanbpeterson,"The @nytimes just can't quit: ""this grandiose project."" One conservative College (opposed to, say, a thousand liberal colleges): https://t.co/4lpB66tG4t"
jordanbpeterson,"I think we should stop using the word ""outside."" Maybe I'll use in in a tweet (whoops, just did) and see if the commissars at @CPOntario will suspend my clinical license..."
jordanbpeterson,Just another reason to spend tens of thousands a year to send your kids to university...
jordanbpeterson,"This new digital graffiti is rad, man."
