author,content
krzysztofbosak,"„Klasyczny wałek na wielką skalę zwany karuzelą vatowską.”

„Prokuratura interesowała się nim jeszcze zanim jego brat został komendantem głównym policji.”

Gen. Szymczyk został komendantem w 2016. To oznacza, że prokuratura stawiała zarzuty przez 6 lat!

https://t.co/YIyxEc2Evn"
krzysztofbosak,"Ludzie jak zwykle dowiedzą się z kilkuletnimi opóźnieniem co im rządy szykują, gdy obecni decydenci będą od kilku lat ponownie na karuzeli stanowisk w bankach i instytucjach międzynarodowych"
krzysztofbosak,"100% prawdy! Bardzo dobra wypowiedź @styszka, co widać po minach i nerwowym wierceniu się zwolenników sprzedawania interesów Polaków za długi w Brukseli i transfery do Brukseli („nowe zasoby własne UE” = podatki federalne UE, mające sfinansować rzekomo darmowe „dotacje” z KPO)"
krzysztofbosak,"Na takich torach politykę Polski ustawili PJK i PMM decyzjami ze szczytu UE w 2020. Od początku jasno to wynikało z faktów. Niestety Polska to kraj, w którym fakty ignoruje się latami, a zamiast nich wszyscy spierają się o retorykę.

Zmieńmy to!"
krzysztofbosak,"Zważywszy na poniższe argumenty jest rzeczą kuriozalną, że PO, Lewica i PSL pozwoliły pozbawionemu większości PiS przepchnąć tę ustawę o sądach. 

Konfederacja jest jedyną opozycją stawiającą sprawy jasno, a nie uprawiającą kunktatorstwo. https://t.co/f48OeSEJJq"
krzysztofbosak,W USA praworządność powoli powraca w kwestii szczepień na covid. W Polsce winni nadużyć i niszczenia ludziom życia zawodowego jeszcze nie zostali odsunięci od urzędów
krzysztofbosak,"Szkoda tylko, że to wszystko za setki milionów pieniędzy podatnika, a nie z jakiejś zrzutki wewnątrz środowiska fanów zinstytucjonalizowanej, elitarnej, lewicującej postawangardy."
krzysztofbosak,Ten budynek będzie miał dodatkową niezamierzoną funkcję edukacyjną: tak jak on sam ma się do normalnego miasta tak jego zawartość ma się do tysięcy lat dziedzictwa normalnej sztuki czy teatru. Będzie odstraszał. Będzie niczym intruz. Będzie znakiem pogardy dla piękna i tradycji.
krzysztofbosak,Ładne oranko 👌🏻
krzysztofbosak,*właściwie to czwarty
